,SVDpp,NormalPredictor,BaselineOnly,KNNBasic,KNNWithMeans,KNNWithZScore,KNNBaseline,SVD,NMF,SlopeOne,CoClustering
MSE,1.33096926738236,2.4918138915241506,1.3462051798853056,1.3469576989768666,1.4848924816163591,1.4822329261826206,1.3730354413250534,1.2953974544920568,1.8168759652948285,1.5110115655628706,2.064925907029681
RMSE,1.1536401635265645,1.5784678607781646,1.1602179780714337,1.1605210460336381,1.21849802419699,1.2174114900854658,1.1717091491277292,1.1381075674583034,1.3478840476326357,1.229178543414496,1.4369373073131055
F1@10,0.5608605861663818,0.5608605861663818,0.5608605861663818,0.5608605861663818,0.5608605861663818,0.5608605861663818,0.5608605861663818,0.5608605861663818,0.5608605861663818,0.5608605861663818,0.5608605861663818
HitRate@10,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156
MAP@10,0.5724652349948883,0.5617671012878418,0.5653466761112214,0.5741483747959137,0.5729867279529571,0.572860836982727,0.5750908255577087,0.5728072404861451,0.5716407537460327,0.5734981179237366,0.568029808998108
MRR@10,0.5748375296592713,0.5642173528671265,0.5679690718650818,0.5769643902778625,0.5757198929786682,0.5755860686302186,0.5779271960258484,0.5754233956336975,0.573893415927887,0.5762271285057068,0.5699660658836365
NDCG@10,0.5899398982524872,0.5822364270687104,0.5847994208335876,0.5920239448547363,0.5913617670536041,0.5912715375423432,0.5919609785079956,0.5902361333370209,0.5892835080623626,0.5919064521789551,0.5866489171981811
Precision@10,0.5019853353500366,0.5019853353500366,0.5019853353500366,0.5019853353500366,0.5019853353500366,0.5019853353500366,0.5019853353500366,0.5019853353500366,0.5019853353500366,0.5019853353500366,0.5019853353500366
Recall@10,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156,0.6353939950466156
ExplainedVariance,0.006011150201067772,-0.860877302353728,-0.005210091137659934,-0.005667945894259363,-0.10852259119760725,-0.1065556289710787,-0.025218640576208262,0.03269900649935644,-0.30107245860291443,-0.12797850545221323,-0.3706312563935365
R2,0.0056497136026904095,-0.8617307938716502,-0.0056976055863360965,-0.006208749006232195,-0.10928141494389756,-0.10732597572976102,-0.025708401200872543,0.032273645226998104,-0.35765060223279876,-0.12879946560381952,-0.5428124803039451
